ParameterL,LocalLogic,ParameterT,TriggerIOStatus
CSROUT,0x4,IN_FRONTA,0xFB00
 FW_VERSION,0xB1000001,IN_FRONTB,0xFFFF
 SW_VERSION,0x1000,IN_FRONTC,0xFFFF
 UNIQUE_ID,0x197B7679,IN_TRIGGERALL,0xBFFFFB1B
 UNIQUE_ID,0x92220000,IN_EBDATA,0x0
 COINCTEST,0x1708,CMASK_FRONTA,0xFFFF
 reserved,0x0,CMASK_FRONTB,0x123
 reserved,0x0,CMASK_FRONTC,0xFFFF
 reserved,0x0,CMASK_TRIGGERALL,0x0
 reserved,0x0,CMASK_EBDATA,0xFFFF
 NUMTRIGGERS,175324,MMSUM_FRONTA,17
 NUMTRIGGERS,0,MMSUM_FRONTB,16
 RUNTICKS,1006838048,MMSUM_FRONTC,16
 RUNTICKS,0,MMSUM_TRIGGERALL,0
 RUNTIME,10.068380,MMSUM_EBDATA,0
 TRIGGERRATE,17413.326835,reserved,0
 T_ZYNQ,41,reserved,0
 T_BOARD,22,reserved,0
 SNUM,0,reserved,0
 
