sample,adc0,adc1,adc2,adc3
0,54836,1312,1283,1203
 1,54827,1310,1281,1203
 2,54830,1312,1283,1203
 3,54826,1313,1282,1202
 4,54829,1312,1284,1202
 5,54823,1312,1283,1203
 6,54826,1312,1284,1202
 7,54818,1310,1282,1201
 8,54829,1314,1282,1201
 9,54824,1311,1284,1200
 10,54826,1312,1282,1200
 11,54834,1311,1282,1202
 12,54830,1314,1283,1201
 13,54830,1310,1282,1201
 14,54833,1313,1282,1201
 15,54832,1310,1282,1201
 16,54839,1310,1280,1200
 17,54835,1313,1282,1202
 18,54840,1311,1283,1202
 19,54837,1312,1281,1202
 20,54831,1310,1281,1200
 21,54835,1311,1284,1203
 22,54833,1310,1283,1201
 23,54844,1312,1285,1200
 24,54838,1311,1284,1202
 25,54845,1312,1284,1201
 26,54840,1310,1283,1200
 27,54830,1313,1283,1202
 28,54839,1312,1283,1202
 29,54835,1311,1284,1200
 30,54841,1313,1281,1202
 31,54834,1311,1284,1203
 32,54825,1311,1285,1204
 33,54826,1309,1283,1201
 34,54827,1313,1282,1203
 35,54831,1310,1283,1203
 36,54841,1312,1283,1202
 37,54830,1311,1284,1202
 38,54834,1314,1284,1202
 39,54832,1311,1282,1201
 40,54833,1312,1282,1201
 41,54823,1310,1281,1201
 42,54826,1312,1284,1202
 43,54826,1311,1282,1201
 44,54828,1313,1283,1202
 45,54837,1309,1282,1200
 46,54835,1313,1284,1202
 47,54827,1310,1281,1202
 48,54831,1312,1282,1202
 49,54828,1309,1283,1203
 50,54831,1314,1284,1202
 51,54831,1311,1282,1201
 52,54827,1315,1284,1202
 53,54827,1310,1285,1201
 54,54833,1312,1280,1201
 55,54835,1310,1283,1205
 56,54826,1313,1282,1203
 57,54832,1310,1283,1201
 58,54831,1312,1282,1202
 59,54832,1310,1283,1202
 60,54823,1312,1280,1202
 61,54823,1311,1281,1203
 62,54830,1311,1280,1202
 63,54816,1312,1282,1201
 64,54831,1314,1282,1202
 65,54837,1312,1282,1201
 66,54832,1312,1282,1201
 67,54826,1310,1283,1201
 68,54834,1312,1282,1201
 69,54843,1311,1282,1199
 70,54824,1310,1281,1202
 71,54826,1310,1282,1201
 72,54822,1313,1283,1202
 73,54822,1311,1283,1201
 74,54826,1312,1285,1200
 75,54828,1311,1284,1202
 76,54827,1314,1283,1203
 77,54820,1312,1283,1203
 78,54818,1309,1282,1202
 79,54821,1312,1280,1203
 80,54822,1311,1284,1202
 81,54823,1312,1283,1203
 82,54823,1310,1282,1201
 83,54822,1313,1281,1202
 84,54817,1312,1283,1203
 85,54821,1313,1283,1202
 86,54816,1310,1284,1200
 87,54826,1312,1283,1203
 88,54826,1310,1283,1201
 89,54824,1312,1282,1201
 90,54829,1311,1283,1201
 91,54821,1312,1284,1201
 92,54822,1310,1283,1201
 93,54819,1314,1283,1201
 94,54816,1311,1282,1202
 95,54814,1311,1284,1202
 96,54806,1314,1280,1201
 97,54818,1309,1284,1203
 98,54814,1312,1282,1202
 99,54816,1309,1282,1202
 100,54809,1312,1281,1201
 101,54819,1310,1283,1202
 102,54814,1312,1283,1201
 103,54817,1311,1284,1200
 104,54819,1312,1282,1202
 105,54820,1310,1284,1201
 106,54810,1312,1282,1202
 107,54809,1310,1283,1200
 108,54820,1312,1282,1202
 109,54818,1311,1283,1202
 110,54820,1312,1284,1203
 111,54832,1311,1282,1204
 112,54815,1313,1282,1200
 113,54827,1309,1280,1203
 114,54822,1312,1282,1201
 115,54821,1312,1281,1203
 116,54812,1311,1282,1202
 117,54816,1310,1281,1203
 118,54812,1311,1283,1201
 119,54809,1311,1282,1202
 120,54821,1310,1283,1200
 121,54817,1313,1283,1202
 122,54820,1310,1283,1202
 123,54824,1313,1282,1202
 124,54819,1310,1282,1200
 125,54823,1313,1284,1202
 126,54822,1310,1282,1202
 127,54817,1313,1285,1201
 128,54817,1310,1282,1202
 129,54818,1311,1284,1202
 130,54816,1311,1280,1200
 131,54818,1312,1282,1201
 132,54815,1310,1283,1200
 133,54816,1311,1283,1200
 134,54828,1312,1285,1202
 135,54821,1311,1283,1200
 136,54819,1312,1282,1199
 137,54817,1309,1284,1201
 138,54823,1314,1284,1202
 139,54821,1311,1283,1201
 140,54821,1313,1281,1200
 141,54825,1309,1284,1201
 142,54827,1311,1284,1200
 143,54829,1309,1283,1201
 144,54824,1314,1284,1202
 145,54830,1311,1281,1200
 146,54831,1311,1283,1201
 147,54831,1311,1281,1200
 148,54829,1312,1283,1201
 149,54825,1311,1282,1201
 150,54837,1309,1285,1201
 151,54836,1312,1284,1202
 152,54833,1310,1284,1200
 153,54821,1311,1284,1200
 154,54823,1309,1284,1201
 155,54818,1313,1283,1201
 156,54814,1311,1284,1201
 157,54827,1313,1284,1201
 158,54827,1311,1281,1202
 159,54823,1312,1282,1202
 160,54832,1310,1282,1202
 161,54826,1312,1284,1202
 162,54834,1311,1283,1201
 163,54832,1311,1283,1201
 164,54832,1310,1281,1202
 165,54828,1313,1284,1203
 166,54829,1311,1282,1201
 167,54823,1310,1284,1202
 168,54834,1314,1285,1203
 169,54830,1310,1284,1201
 170,54835,1311,1284,1201
 171,54834,1311,1284,1202
 172,54837,1312,1285,1201
 173,54839,1311,1282,1201
 174,54834,1312,1284,1201
 175,54838,1310,1282,1202
 176,54839,1312,1283,1200
 177,54842,1310,1281,1204
 178,54843,1311,1284,1202
 179,54848,1310,1283,1201
 180,54844,1312,1283,1202
 181,54847,1311,1282,1204
 182,54846,1312,1282,1203
 183,54851,1311,1282,1198
 184,54844,1311,1285,1204
 185,54843,1310,1282,1202
 186,54850,1311,1283,1201
 187,54849,1311,1283,1202
 188,54848,1311,1283,1202
 189,54851,1309,1284,1201
 190,54844,1311,1281,1204
 191,54841,1311,1283,1202
 192,54839,1310,1283,1203
 193,54838,1312,1283,1201
 194,54845,1311,1283,1202
 195,54837,1310,1286,1202
 196,54834,1310,1284,1202
 197,54838,1312,1284,1202
 198,54825,1311,1281,1200
 199,54831,1311,1282,1201
 200,54836,1312,1282,1201
 201,54837,1310,1281,1203
 202,54834,1313,1283,1201
 203,54841,1311,1282,1201
 204,54840,1310,1282,1199
 205,54843,1310,1282,1203
 206,54844,1312,1283,1201
 207,54837,1310,1283,1202
 208,54839,1311,1282,1202
 209,54834,1310,1283,1203
 210,54844,1311,1284,1202
 211,54838,1310,1284,1202
 212,54842,1311,1284,1203
 213,54837,1311,1283,1203
 214,54842,1311,1283,1202
 215,54844,1312,1283,1201
 216,54841,1311,1285,1203
 217,54844,1311,1283,1200
 218,54840,1309,1283,1203
 219,54844,1312,1281,1201
 220,54844,1310,1285,1202
 221,54839,1311,1282,1202
 222,54837,1310,1282,1202
 223,54844,1311,1283,1201
 224,54848,1310,1285,1200
 225,54838,1310,1283,1203
 226,54846,1311,1284,1202
 227,54847,1312,1281,1203
 228,54845,1309,1284,1203
 229,54847,1312,1283,1203
 230,54846,1312,1283,1202
 231,54849,1310,1283,1201
 232,54845,1311,1284,1199
 233,54850,1310,1283,1201
 234,54843,1311,1286,1199
 235,54841,1310,1285,1202
 236,54839,1313,1283,1201
 237,54841,1309,1284,1201
 238,54834,1313,1282,1202
 239,54827,1309,1283,1203
 240,54833,1313,1282,1201
 241,54834,1312,1286,1203
 242,54834,1311,1283,1202
 243,54835,1310,1283,1201
 244,54832,1313,1282,1202
 245,54839,1311,1284,1201
 246,54839,1313,1282,1201
 247,54840,1310,1285,1204
 248,54847,1311,1283,1201
 249,54838,1312,1285,1202
 250,54841,1312,1281,1201
 251,54837,1311,1284,1202
 252,54844,1312,1281,1201
 253,54845,1311,1285,1202
 254,54847,1311,1283,1203
 255,54850,1312,1282,1203
 256,54859,1312,1284,1201
 257,54854,1310,1283,1203
 258,54845,1311,1284,1200
 259,54838,1310,1283,1202
 260,54850,1311,1283,1201
 261,54839,1311,1283,1204
 262,54843,1312,1282,1201
 263,54842,1310,1284,1203
 264,54835,1313,1282,1199
 265,54843,1310,1282,1203
 266,54843,1312,1282,1200
 267,54855,1312,1284,1201
 268,54844,1312,1282,1200
 269,54847,1312,1283,1203
 270,54846,1310,1283,1202
 271,54837,1312,1282,1203
 272,54839,1311,1282,1203
 273,54846,1313,1284,1202
 274,54839,1310,1283,1201
 275,54842,1314,1284,1203
 276,54840,1311,1282,1201
 277,54839,1312,1283,1202
 278,54832,1311,1284,1201
 279,54836,1311,1282,1202
 280,54840,1310,1282,1203
 281,54841,1312,1283,1202
 282,54846,1310,1284,1200
 283,54848,1313,1284,1202
 284,54851,1310,1282,1201
 285,54840,1312,1284,1202
 286,54841,1311,1283,1203
 287,54845,1312,1282,1200
 288,54842,1312,1284,1200
 289,54840,1313,1283,1200
 290,54839,1312,1283,1201
 291,54846,1311,1282,1201
 292,54847,1310,1284,1202
 293,54854,1311,1282,1201
 294,54856,1312,1284,1201
 295,54851,1311,1281,1201
 296,54855,1312,1284,1203
 297,54856,1310,1284,1201
 298,54851,1313,1283,1201
 299,54844,1309,1282,1201
 300,54848,1313,1284,1200
 301,54849,1310,1283,1203
 302,54846,1314,1284,1200
 303,54853,1310,1283,1203
 304,54849,1312,1284,1202
 305,54844,1310,1283,1203
 306,54857,1311,1283,1200
 307,54856,1309,1281,1202
 308,54859,1311,1284,1201
 309,54857,1309,1282,1201
 310,54860,1310,1285,1201
 311,54850,1312,1284,1202
 312,54850,1310,1282,1201
 313,54847,1311,1283,1202
 314,54856,1311,1283,1200
 315,54853,1313,1283,1201
 316,54840,1311,1282,1202
 317,54857,1312,1282,1202
 318,54855,1310,1283,1202
 319,54847,1314,1284,1202
 320,54845,1312,1284,1202
 321,54847,1312,1282,1200
 322,54853,1311,1285,1203
 323,54860,1313,1283,1200
 324,54852,1310,1283,1203
 325,54857,1311,1283,1201
 326,54855,1310,1283,1203
 327,54852,1313,1283,1202
 328,54851,1309,1281,1202
 329,54844,1311,1284,1200
 330,54849,1311,1281,1202
 331,54846,1312,1284,1202
 332,54851,1309,1281,1202
 333,54853,1311,1283,1201
 334,54850,1314,1282,1202
 335,54847,1311,1283,1202
 336,54850,1312,1282,1201
 337,54845,1311,1285,1201
 338,54850,1314,1283,1202
 339,54846,1310,1283,1204
 340,54847,1310,1282,1200
 341,54848,1310,1285,1201
 342,54841,1313,1283,1202
 343,54847,1311,1284,1202
 344,54842,1312,1281,1202
 345,54848,1312,1281,1199
 346,54842,1312,1282,1202
 347,54848,1308,1282,1203
 348,54851,1310,1282,1202
 349,54848,1309,1283,1202
 350,54851,1311,1280,1204
 351,54849,1309,1283,1201
 352,54849,1312,1281,1203
