sample,adc0,adc1,adc2,adc3
0,1398,1,2,3
 1,1397,2,3,4
 2,1397,3,4,5
 3,1398,4,5,6
 4,1397,1,2,3
 5,1397,2,3,4
 6,1397,3,4,5
 7,1398,4,5,6
 8,1397,1,2,3
 9,1398,2,3,4
 10,1398,3,4,5
 11,1398,4,5,6
 12,1397,1,2,3
 13,1397,2,3,4
 14,1397,3,4,5
 15,1397,4,5,6
 16,1398,1,2,3
 17,1397,2,3,4
 18,1397,3,4,5
 19,1398,4,5,6
 20,1398,1,2,3
 21,1398,2,3,4
 22,1397,3,4,5
 23,1398,4,5,6
 24,1397,1,2,3
 25,1397,2,3,4
 26,1398,3,4,5
 27,1397,4,5,6
 28,1398,1,2,3
 29,1397,2,3,4
 30,1398,3,4,5
 31,1397,4,5,6
 32,1397,1,2,3
 33,1398,2,3,4
 34,1397,3,4,5
 35,1398,4,5,6
 36,1397,1,2,3
 37,1398,2,3,4
 38,1398,3,4,5
 39,1397,4,5,6
 40,1397,1,2,3
 41,1398,2,3,4
 42,1397,3,4,5
 43,1397,4,5,6
 44,1397,1,2,3
 45,1398,2,3,4
 46,1397,3,4,5
 47,1397,4,5,6
 48,1398,1,2,3
 49,1397,2,3,4
 50,1398,3,4,5
 51,1398,4,5,6
 52,1397,1,2,3
 53,1397,2,3,4
 54,1398,3,4,5
 55,1396,4,5,6
 56,1397,1,2,3
 57,1398,2,3,4
 58,1397,3,4,5
 59,1396,4,5,6
 60,1398,1,2,3
 61,1397,2,3,4
 62,1398,3,4,5
 63,1397,4,5,6
 64,1398,1,2,3
 65,1397,2,3,4
 66,1398,3,4,5
 67,1398,4,5,6
 68,1397,1,2,3
 69,1397,2,3,4
 70,1397,3,4,5
 71,1397,4,5,6
 72,1397,1,2,3
 73,1398,2,3,4
 74,1398,3,4,5
 75,1397,4,5,6
 76,1397,1,2,3
 77,1397,2,3,4
 78,1397,3,4,5
 79,1397,4,5,6
 80,1397,1,2,3
 81,1397,2,3,4
 82,1397,3,4,5
 83,1397,4,5,6
 84,1398,1,2,3
 85,1398,2,3,4
 86,1398,3,4,5
 87,1397,4,5,6
 88,1397,1,2,3
 89,1397,2,3,4
 90,1397,3,4,5
 91,1397,4,5,6
 92,1397,1,2,3
 93,1398,2,3,4
 94,1397,3,4,5
 95,1397,4,5,6
 96,1398,1,2,3
 97,1398,2,3,4
 98,1397,3,4,5
 99,1397,4,5,6
 100,1397,1,2,3
 101,1397,2,3,4
 102,1397,3,4,5
 103,1397,4,5,6
 104,1397,1,2,3
 105,1397,2,3,4
 106,1397,3,4,5
 107,1397,4,5,6
 108,1398,1,2,3
 109,1397,2,3,4
 110,1397,3,4,5
 111,1397,4,5,6
 112,1397,1,2,3
 113,1397,2,3,4
 114,1397,3,4,5
 115,1397,4,5,6
 116,1397,1,2,3
 117,1397,2,3,4
 118,1397,3,4,5
 119,1397,4,5,6
 120,1398,1,2,3
 121,1398,2,3,4
 122,1397,3,4,5
 123,1397,4,5,6
 124,1397,1,2,3
 125,1397,2,3,4
 126,1397,3,4,5
 127,1397,4,5,6
 128,1398,1,2,3
 129,1398,2,3,4
 130,1398,3,4,5
 131,1398,4,5,6
 132,1397,1,2,3
 133,1398,2,3,4
 134,1398,3,4,5
 135,1397,4,5,6
 136,1398,1,2,3
 137,1397,2,3,4
 138,1397,3,4,5
 139,1397,4,5,6
 140,1397,1,2,3
 141,1397,2,3,4
 142,1398,3,4,5
 143,1398,4,5,6
 144,1397,1,2,3
 145,1397,2,3,4
 146,1398,3,4,5
 147,1397,4,5,6
 148,1397,1,2,3
 149,1397,2,3,4
 150,1398,3,4,5
 151,1397,4,5,6
 152,1397,1,2,3
 153,1397,2,3,4
 154,1397,3,4,5
 155,1398,4,5,6
 156,1397,1,2,3
 157,1397,2,3,4
 158,1397,3,4,5
 159,1397,4,5,6
 160,1397,1,2,3
 161,1397,2,3,4
 162,1398,3,4,5
 163,1397,4,5,6
 164,1397,1,2,3
 165,1397,2,3,4
 166,1397,3,4,5
 167,1397,4,5,6
 168,1397,1,2,3
 169,1397,2,3,4
 170,1397,3,4,5
 171,1397,4,5,6
 172,1397,1,2,3
 173,1398,2,3,4
 174,1397,3,4,5
 175,1397,4,5,6
 176,1397,1,2,3
 177,1398,2,3,4
 178,1397,3,4,5
 179,1397,4,5,6
 180,1397,1,2,3
 181,1397,2,3,4
 182,1397,3,4,5
 183,1397,4,5,6
 184,1397,1,2,3
 185,1398,2,3,4
 186,1397,3,4,5
 187,1397,4,5,6
 188,1397,1,2,3
 189,1397,2,3,4
 190,1397,3,4,5
 191,1397,4,5,6
 192,1397,1,2,3
 193,1398,2,3,4
 194,1398,3,4,5
 195,1397,4,5,6
 196,1397,1,2,3
 197,1397,2,3,4
 198,1397,3,4,5
 199,1397,4,5,6
 200,1398,1,2,3
 201,1398,2,3,4
 202,1397,3,4,5
 203,1397,4,5,6
 204,1397,1,2,3
 205,1397,2,3,4
 206,1397,3,4,5
 207,1398,4,5,6
 208,1397,1,2,3
 209,1397,2,3,4
 210,1397,3,4,5
 211,1398,4,5,6
 212,1397,1,2,3
 213,1397,2,3,4
 214,1397,3,4,5
 215,1397,4,5,6
 216,1397,1,2,3
 217,1398,2,3,4
 218,1397,3,4,5
 219,1397,4,5,6
 220,1397,1,2,3
 221,1397,2,3,4
 222,1398,3,4,5
 223,1397,4,5,6
 224,1398,1,2,3
 225,1397,2,3,4
 226,1398,3,4,5
 227,1398,4,5,6
 228,1398,1,2,3
 229,1398,2,3,4
 230,1397,3,4,5
 231,1397,4,5,6
 232,1397,1,2,3
 233,1397,2,3,4
 234,1397,3,4,5
 235,1397,4,5,6
 236,1397,1,2,3
 237,1398,2,3,4
 238,1398,3,4,5
 239,1397,4,5,6
 240,1397,1,2,3
 241,1398,2,3,4
 242,1398,3,4,5
 243,1398,4,5,6
 244,1397,1,2,3
 245,1397,2,3,4
 246,1397,3,4,5
 247,1397,4,5,6
 248,1397,1,2,3
 249,1398,2,3,4
 250,1396,3,4,5
 251,1397,4,5,6
 252,1397,1,2,3
 253,1397,2,3,4
 254,1397,3,4,5
 255,1397,4,5,6
 256,1397,1,2,3
 257,1397,2,3,4
 258,1398,3,4,5
 259,1397,4,5,6
 260,1398,1,2,3
 261,1397,2,3,4
 262,1397,3,4,5
 263,1397,4,5,6
 264,1397,1,2,3
 265,1398,2,3,4
 266,1397,3,4,5
 267,1397,4,5,6
 268,1397,1,2,3
 269,1398,2,3,4
 270,1397,3,4,5
 271,1397,4,5,6
 272,1397,1,2,3
 273,1397,2,3,4
 274,1397,3,4,5
 275,1398,4,5,6
 276,1397,1,2,3
 277,1398,2,3,4
 278,1397,3,4,5
 279,1397,4,5,6
 280,1397,1,2,3
 281,1398,2,3,4
 282,1398,3,4,5
 283,1397,4,5,6
 284,1398,1,2,3
 285,1397,2,3,4
 286,1398,3,4,5
 287,1397,4,5,6
 288,1397,1,2,3
 289,1397,2,3,4
 290,1398,3,4,5
 291,1397,4,5,6
 292,1397,1,2,3
 293,1398,2,3,4
 294,1398,3,4,5
 295,1397,4,5,6
 296,1397,1,2,3
 297,1398,2,3,4
 298,1397,3,4,5
 299,1397,4,5,6
 300,1397,1,2,3
 301,1397,2,3,4
 302,1398,3,4,5
 303,1397,4,5,6
 304,1398,1,2,3
 305,1398,2,3,4
 306,1397,3,4,5
 307,1398,4,5,6
 308,1397,1,2,3
 309,1398,2,3,4
 310,1398,3,4,5
 311,1398,4,5,6
 312,1397,1,2,3
 313,1399,2,3,4
 314,1397,3,4,5
 315,1397,4,5,6
 316,1397,1,2,3
 317,1397,2,3,4
 318,1398,3,4,5
 319,1397,4,5,6
 320,1397,1,2,3
 321,1397,2,3,4
 322,1398,3,4,5
 323,1398,4,5,6
 324,1397,1,2,3
 325,1398,2,3,4
 326,1397,3,4,5
 327,1397,4,5,6
 328,1397,1,2,3
 329,1398,2,3,4
 330,1398,3,4,5
 331,1398,4,5,6
 332,1397,1,2,3
 333,1397,2,3,4
 334,1397,3,4,5
 335,1398,4,5,6
 336,1398,1,2,3
 337,1398,2,3,4
 338,1397,3,4,5
 339,1398,4,5,6
 340,1397,1,2,3
 341,1397,2,3,4
 342,1398,3,4,5
 343,1397,4,5,6
 344,1397,1,2,3
 345,1398,2,3,4
 346,1398,3,4,5
 347,1397,4,5,6
 348,1398,1,2,3
 349,1397,2,3,4
 350,1398,3,4,5
 351,1397,4,5,6
 352,1397,1,2,3
 353,1398,2,3,4
 354,1398,3,4,5
 355,1397,4,5,6
 356,1397,1,2,3
 357,1398,2,3,4
 358,1397,3,4,5
 359,1398,4,5,6
 360,1398,1,2,3
 361,1398,2,3,4
 362,1398,3,4,5
 363,1398,4,5,6
 364,1398,1,2,3
 365,1397,2,3,4
 366,1397,3,4,5
 367,1397,4,5,6
 368,1398,1,2,3
 369,1398,2,3,4
 370,1398,3,4,5
 371,1397,4,5,6
 372,1397,1,2,3
 373,1397,2,3,4
 374,1398,3,4,5
 375,1397,4,5,6
 376,1398,1,2,3
 377,1397,2,3,4
 378,1398,3,4,5
 379,1397,4,5,6
 380,1398,1,2,3
 381,1398,2,3,4
 382,1398,3,4,5
 383,1397,4,5,6
 384,1398,1,2,3
 385,1397,2,3,4
 386,1398,3,4,5
 387,1398,4,5,6
 388,1398,1,2,3
 389,1398,2,3,4
 390,1397,3,4,5
 391,1397,4,5,6
 392,1398,1,2,3
 393,1398,2,3,4
 394,1398,3,4,5
 395,1398,4,5,6
 396,1398,1,2,3
 397,1399,2,3,4
 398,1398,3,4,5
 399,1397,4,5,6
 400,1398,1,2,3
 401,1398,2,3,4
 402,1397,3,4,5
 403,1398,4,5,6
 404,1397,1,2,3
 405,1398,2,3,4
 406,1397,3,4,5
 407,1398,4,5,6
 408,1398,1,2,3
 409,1398,2,3,4
 410,1398,3,4,5
 411,1398,4,5,6
 412,1398,1,2,3
 413,1398,2,3,4
 414,1397,3,4,5
