sample,adc0,adc1,adc2,adc3
0,1408,256,0,0
 1,1407,255,0,0
 2,1407,255,0,0
 3,1408,256,0,0
 4,1407,255,0,0
 5,1407,256,0,0
 6,1408,256,0,0
 7,1408,255,0,0
 8,1409,256,0,0
 9,1408,256,0,0
 10,1408,257,0,0
 11,1408,257,0,0
 12,1408,257,0,0
 13,1408,255,0,0
 14,1408,256,0,0
 15,1408,256,0,0
 16,1408,256,0,0
 17,1408,255,0,0
 18,1407,257,0,0
 19,1407,256,0,0
 20,1408,257,0,0
 21,1408,255,0,0
 22,1407,256,0,0
 23,1407,256,0,0
 24,1408,256,0,0
 25,1408,255,0,0
 26,1408,256,0,0
 27,1407,257,0,0
 28,1407,256,0,0
 29,1408,256,0,0
 30,1407,256,0,0
 31,1407,256,0,0
 32,1408,256,0,0
 33,1407,256,0,0
 34,1408,257,0,0
 35,1407,256,0,0
 36,1407,256,0,0
 37,1407,256,0,0
 38,1408,257,0,0
 39,1407,256,0,0
 40,1406,256,0,0
 41,1407,256,0,0
 42,1407,257,0,0
 43,1407,256,0,0
 44,1407,256,0,0
 45,1407,256,0,0
 46,1407,257,0,0
 47,1407,256,0,0
 48,1407,256,0,0
 49,1408,256,0,0
 50,1406,256,0,0
 51,1407,257,0,0
 52,1407,257,0,0
 53,1408,256,0,0
 54,1406,256,0,0
 55,1407,257,0,0
 56,1407,256,0,0
 57,1406,256,0,0
 58,1407,255,0,0
 59,1407,256,0,0
 60,1407,257,0,0
 61,1407,256,0,0
 62,1407,256,0,0
 63,1408,256,0,0
 64,1407,257,0,0
 65,1408,256,0,0
 66,1407,256,0,0
 67,1407,257,0,0
 68,1407,256,0,0
 69,1408,256,0,0
 70,1407,256,0,0
 71,1407,257,0,0
 72,1407,256,0,0
 73,1408,255,0,0
 74,1407,256,0,0
 75,1407,256,0,0
 76,1407,256,0,0
 77,1407,256,0,0
 78,1407,256,0,0
 79,1408,256,0,0
 80,1407,257,0,0
 81,1407,255,0,0
 82,1407,256,0,0
 83,1408,256,0,0
 84,1407,256,0,0
 85,1407,256,0,0
 86,1407,257,0,0
 87,1407,257,0,0
 88,1407,256,0,0
 89,1407,256,0,0
 90,1407,257,0,0
 91,1407,257,0,0
 92,1407,256,0,0
 93,1407,256,0,0
 94,1408,256,0,0
 95,1407,256,0,0
 96,1407,255,0,0
 97,1407,256,0,0
 98,1407,257,0,0
 99,1408,256,0,0
 100,1407,256,0,0
 101,1407,256,0,0
 102,1407,256,0,0
 103,1407,256,0,0
 104,1408,255,0,0
 105,1406,256,0,0
 106,1408,257,0,0
 107,1407,256,0,0
 108,1406,257,0,0
 109,1407,257,0,0
 110,1407,257,0,0
 111,1406,256,0,0
 112,1407,257,0,0
 113,1407,257,0,0
 114,1406,256,0,0
 115,1407,256,0,0
 116,1407,257,0,0
 117,1407,256,0,0
 118,1408,257,0,0
 119,1406,256,0,0
 120,1407,256,0,0
 121,1407,256,0,0
 122,1407,256,0,0
 123,1407,256,0,0
 124,1406,257,0,0
 125,1407,257,0,0
 126,1407,256,0,0
 127,1407,257,0,0
 128,1406,257,0,0
 129,1406,256,0,0
 130,1406,256,0,0
 131,1406,257,0,0
 132,1406,257,0,0
 133,1407,256,0,0
 134,1407,257,0,0
 135,1406,256,0,0
 136,1407,256,0,0
 137,1407,256,0,0
 138,1406,257,0,0
 139,1407,257,0,0
 140,1407,256,0,0
 141,1407,256,0,0
 142,1407,256,0,0
 143,1406,256,0,0
 144,1407,256,0,0
 145,1407,256,0,0
 146,1407,257,0,0
 147,1407,258,0,0
 148,1406,256,0,0
 149,1407,256,0,0
 150,1407,256,0,0
 151,1407,256,0,0
 152,1407,256,0,0
 153,1407,256,0,0
 154,1406,256,0,0
 155,1406,257,0,0
 156,1406,257,0,0
 157,1407,257,0,0
 158,1406,256,0,0
 159,1407,257,0,0
 160,1406,257,0,0
 161,1407,257,0,0
 162,1406,257,0,0
 163,1406,257,0,0
 164,1407,256,0,0
 165,1407,256,0,0
 166,1407,257,0,0
 167,1406,256,0,0
 168,1408,256,0,0
 169,1408,256,0,0
 170,1407,256,0,0
 171,1407,256,0,0
 172,1408,256,0,0
 173,1408,256,0,0
 174,1407,256,0,0
 175,1407,256,0,0
 176,1407,256,0,0
 177,1406,257,0,0
 178,1406,257,0,0
 179,1407,256,0,0
 180,1407,255,0,0
 181,1406,256,0,0
 182,1406,256,0,0
 183,1406,256,0,0
 184,1406,256,0,0
 185,1407,256,0,0
 186,1407,257,0,0
 187,1407,256,0,0
 188,1408,257,0,0
 189,1406,257,0,0
 190,1407,257,0,0
 191,1407,256,0,0
 192,1407,257,0,0
 193,1407,256,0,0
 194,1407,257,0,0
 195,1407,256,0,0
 196,1408,256,0,0
 197,1406,256,0,0
 198,1407,257,0,0
 199,1407,256,0,0
 200,1407,256,0,0
 201,1406,256,0,0
 202,1407,257,0,0
 203,1407,255,0,0
 204,1407,256,0,0
 205,1407,255,0,0
 206,1407,256,0,0
 207,1406,256,0,0
 208,1407,255,0,0
 209,1407,255,0,0
 210,1407,256,0,0
 211,1406,256,0,0
 212,1407,255,0,0
 213,1406,255,0,0
 214,1406,256,0,0
 215,1407,255,0,0
 216,1407,255,0,0
 217,1407,255,0,0
 218,1407,255,0,0
 219,1406,255,0,0
 220,1407,255,0,0
 221,1407,256,0,0
 222,1406,256,0,0
 223,1407,255,0,0
 224,1407,255,0,0
 225,1407,255,0,0
 226,1407,256,0,0
 227,1406,256,0,0
 228,1406,256,0,0
 229,1406,257,0,0
 230,1407,255,0,0
 231,1407,256,0,0
 232,1406,256,0,0
 233,1407,256,0,0
 234,1407,255,0,0
 235,1406,256,0,0
 236,1406,255,0,0
 237,1406,255,0,0
 238,1406,258,0,0
 239,1406,255,0,0
 240,1407,255,0,0
 241,1406,255,0,0
 242,1407,256,0,0
 243,1407,255,0,0
 244,1406,255,0,0
 245,1406,256,0,0
 246,1406,257,0,0
 247,1406,255,0,0
 248,1407,256,0,0
 249,1407,256,0,0
 250,1407,256,0,0
 251,1406,256,0,0
 252,1406,255,0,0
 253,1406,256,0,0
 254,1406,257,0,0
 255,1407,255,0,0
 256,1407,257,0,0
 257,1406,256,0,0
 258,1407,257,0,0
 259,1407,256,0,0
 260,1406,257,0,0
 261,1407,256,0,0
 262,1407,256,0,0
 263,1406,257,0,0
 264,1406,256,0,0
 265,1406,257,0,0
 266,1405,256,0,0
 267,1406,255,0,0
 268,1406,256,0,0
 269,1406,256,0,0
 270,1406,256,0,0
 271,1406,256,0,0
 272,1406,256,0,0
 273,1406,256,0,0
 274,1406,256,0,0
 275,1406,256,0,0
 276,1407,257,0,0
 277,1406,256,0,0
 278,1406,256,0,0
 279,1406,256,0,0
 280,1406,256,0,0
 281,1406,256,0,0
 282,1406,256,0,0
 283,1406,256,0,0
 284,1406,256,0,0
