Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,-1107295228,1487800173,--,--
No,Ch,Hit,Time_H,Time_L,Energy
0,0,0x110121,0,498560,11197
1,0,0x110121,0,1153920,11191
2,0,0x110121,0,1809280,11197
3,0,0x110121,0,2464640,11176
4,0,0x110121,0,3120000,11180
5,0,0x110121,0,3775360,11174
6,0,0x110121,0,4430720,11171
7,0,0x110121,0,5086080,11174
8,0,0x110121,0,5741440,11184
9,0,0x110121,0,6396800,11186
10,0,0x110121,0,7052160,11175
11,0,0x110121,0,7707520,11178
12,0,0x110121,0,8362880,11169
13,0,0x110121,0,9018240,11181
14,0,0x110121,0,9673600,11171
15,0,0x110121,0,10328960,11183
16,0,0x110121,0,10984320,11171
17,0,0x110121,0,11639680,11186
18,0,0x110121,0,12295040,11179
19,0,0x110121,0,12950400,11183
20,0,0x110121,0,13605760,11194
21,0,0x110121,0,14261120,11189
22,0,0x110121,0,14916480,11190
23,0,0x110121,0,15571840,11186
24,0,0x110121,0,16227200,11186
25,0,0x110121,0,16882560,11526
26,0,0x110121,0,17537920,11189
27,0,0x110121,0,18193280,11184
28,0,0x110121,0,18848640,11190
29,0,0x110121,0,19504000,10782
30,0,0x110121,0,20159360,11191
31,0,0x110121,0,20814720,11192
32,0,0x110121,0,21470080,11198
33,0,0x110121,0,22125440,11182
34,0,0x110121,0,22780800,9710
35,0,0x110121,0,23436160,11188
36,0,0x110121,0,24091520,11187
37,0,0x110121,0,24746880,11195
38,0,0x110121,0,25402240,11195
39,0,0x110121,0,26057600,8940
40,0,0x110121,0,26712960,11197
41,0,0x110121,0,27368320,10497
42,0,0x110121,0,28023680,11187
43,0,0x110121,0,28679040,11194
44,0,0x110121,0,29334400,11184
45,0,0x110121,0,29989760,11182
46,0,0x110121,0,30645120,11726
47,0,0x110121,0,31300480,11186
48,0,0x110121,0,31955840,8489
49,0,0x110121,0,32611200,11193
50,0,0x110121,0,33266560,11187
51,0,0x110121,0,33921920,11191
52,0,0x110121,0,34577280,11192
53,0,0x110121,0,35232640,8565
54,0,0x110121,0,35888000,11194
55,0,0x110121,0,36543360,11188
56,0,0x110121,0,37198720,11183
57,0,0x110121,0,37854080,11190
58,0,0x110121,0,38509440,11190
59,0,0x110121,0,39164800,11194
60,0,0x110121,0,39820160,11187
61,0,0x110121,0,40475520,11185
62,0,0x110121,0,41130880,11192
63,0,0x110121,0,41786240,11184
64,0,0x110121,0,42441600,11181
65,0,0x110121,0,43096960,11784
66,0,0x110121,0,43752320,11191
67,0,0x110121,0,44407680,11184
68,0,0x110121,0,45063040,11201
69,0,0x110121,0,45718400,11715
70,0,0x110121,0,46373760,11191
71,0,0x110121,0,47029120,11191
72,0,0x110121,0,47684480,11188
73,0,0x110121,0,48339840,11182
74,0,0x110121,0,48995200,11184
75,0,0x110121,0,49650560,11474
76,0,0x110121,0,50305920,11179
77,0,0x110121,0,50961280,11189
78,0,0x110121,0,51616640,11193
79,0,0x110121,0,52272000,11184
80,0,0x110121,0,52927360,11249
81,0,0x110121,0,53582720,11189
82,0,0x110121,0,54238080,11185
83,0,0x110121,0,54893440,11176
84,0,0x110121,0,55548800,11192
85,0,0x110121,0,56204160,11508
86,0,0x110121,0,56859520,11193
87,0,0x110121,0,57514880,11193
88,0,0x110121,0,58170240,11472
89,0,0x110121,0,58825600,11189
90,0,0x110121,0,59480960,11192
91,0,0x110121,0,60136320,11179
92,0,0x110121,0,60791680,11184
93,0,0x110121,0,61447040,11494
94,0,0x110121,0,62102400,11190
95,0,0x110121,0,62757760,11194
96,0,0x110121,0,63413120,11192
97,0,0x110121,0,64068480,11194
98,0,0x110121,0,64723840,10963
99,0,0x110121,0,65379200,11188
100,0,0x110121,0,66034560,11189
101,0,0x110121,0,66689920,11199
102,0,0x110121,0,67345280,11186
103,0,0x110121,0,68000640,11192
104,0,0x110121,0,68656000,11187
105,0,0x110121,0,69311360,11185
106,0,0x110121,0,69966720,11192
107,0,0x110121,0,70622080,11189
108,0,0x110121,0,71277440,11195
109,0,0x110121,0,71932800,11188
110,0,0x110121,0,72588160,11190
111,0,0x110121,0,73243520,11812
112,0,0x110121,0,73898880,11193
113,0,0x110121,0,74554240,11178
114,0,0x110121,0,75209600,11180
115,0,0x110121,0,75864960,11603
116,0,0x110121,0,76520320,11185
117,0,0x110121,0,77175680,11763
118,0,0x110121,0,77831040,11190
119,0,0x110121,0,78486400,11187
120,0,0x110121,0,79141760,11196
121,0,0x110121,0,79797120,11196
122,0,0x110121,0,80452480,11187
123,0,0x110121,0,81107840,11191
124,0,0x110121,0,81763200,11192
125,0,0x110121,0,82418560,11192
126,0,0x110121,0,83073920,11193
127,0,0x110121,0,83729280,11191
128,0,0x110121,0,84384640,11186
129,0,0x110121,0,85040000,11194
130,0,0x110121,0,85695360,11188
131,0,0x110121,0,86350720,11576
132,0,0x110121,0,87006080,11191
133,0,0x110121,0,87661440,11950
134,0,0x110121,0,88316800,11188
135,0,0x110121,0,88972160,11190
136,0,0x110121,0,89627520,11193
137,0,0x110121,0,90282880,11197
138,0,0x110121,0,90938240,11190
139,0,0x110121,0,91593600,11196
140,0,0x110121,0,92248960,11195
141,0,0x110121,0,92904320,11205
142,0,0x110121,0,93559680,11191
143,0,0x110121,0,94215040,11176
144,0,0x110121,0,94870400,11179
145,0,0x110121,0,95525760,11182
146,0,0x110121,0,96181120,11194
147,0,0x110121,0,96836480,11187
148,0,0x110121,0,97491840,11188
149,0,0x110121,0,98147200,11200
150,0,0x110121,0,98802560,11187
151,0,0x110121,0,99457920,11179
152,0,0x110121,0,100113280,11187
153,0,0x110121,0,100768640,11191
154,0,0x110121,0,101424000,11196
155,0,0x110121,0,102079360,11830
156,0,0x110121,0,102734720,11188
157,0,0x110121,0,103390080,11192
158,0,0x110121,0,104045440,11200
159,0,0x110121,0,104700800,11602
160,0,0x110121,0,105356160,11185
161,0,0x110121,0,106011520,11186
162,0,0x110121,0,106666880,11191
163,0,0x110121,0,107322240,11193
164,0,0x110121,0,107977600,11180
165,0,0x110121,0,108632960,11336
166,0,0x110121,0,109288320,11192
167,0,0x110121,0,109943680,11188
168,0,0x110121,0,110599040,11184
169,0,0x110121,0,111254400,11193
170,0,0x110121,0,111909760,11350
171,0,0x110121,0,112565120,11180
172,0,0x110121,0,113220480,11194
173,0,0x110121,0,113875840,11191
174,0,0x110121,0,114531200,11193
175,0,0x110121,0,115186560,11088
176,0,0x110121,0,115841920,11203
177,0,0x110121,0,116497280,11183
178,0,0x110121,0,117152640,11194
179,0,0x110121,0,117808000,11199
180,0,0x110121,0,118463360,11189
181,0,0x110121,0,119118720,10574
182,0,0x110121,0,119774080,11186
183,0,0x110121,0,120429440,11189
184,0,0x110121,0,121084800,11192
185,0,0x110121,0,121740160,11192
186,0,0x110121,0,122395520,10072
187,0,0x110121,0,123050880,11195
188,0,0x110121,0,123706240,11189
189,0,0x110121,0,124361600,11198
190,0,0x110121,0,125016960,11198
191,0,0x110121,0,125672320,9623
192,0,0x110121,0,126327680,11193
193,0,0x110121,0,126983040,11191
194,0,0x110121,0,127638400,11185
195,0,0x110121,0,128293760,11187
196,0,0x110121,0,128949120,11194
197,0,0x110121,0,129604480,11195
198,0,0x110121,0,130259840,11193
199,0,0x110121,0,130915200,11194
200,0,0x110121,0,131570560,11201
201,0,0x110121,0,132225920,11186
202,0,0x110121,0,132881280,11190
203,0,0x110121,0,133536640,11193
204,0,0x110121,0,134192000,11186
205,0,0x110121,0,134847360,11900
206,0,0x110121,0,135502720,11199
207,0,0x110121,0,136158080,11184
208,0,0x110121,0,136813440,11185
209,0,0x110121,0,137468800,11569
210,0,0x110121,0,138124160,11198
211,0,0x110121,0,138779520,11184
212,0,0x110121,0,139434880,11189
213,0,0x110121,0,140090240,11192
214,0,0x110121,0,140745600,11193
215,0,0x110121,0,141400960,9977
216,0,0x110121,0,142056320,11179
217,0,0x110121,0,142711680,11183
218,0,0x110121,0,143367040,11192
219,0,0x110121,0,144022400,11187
220,0,0x110121,0,144677760,9496
221,0,0x110121,0,145333120,11191
222,0,0x110121,0,145988480,11189
223,0,0x110121,0,146643840,11200
224,0,0x110121,0,147299200,11189
225,0,0x110121,0,147954560,11186
226,0,0x110121,0,148609920,11191
227,0,0x110121,0,149265280,11591
228,0,0x110121,0,149920640,11188
229,0,0x110121,0,150576000,11187
