ParameterM,Module,ParameterC,Channel0,Channel1,Channel2,Channel3
RUN_TIME,10.9126,COUNT_TIME,10.9126,10.9126,   0,   0
 TOTAL_TIME,10.9126,INPUT_COUNT_RATE,1526.32,   0,   0,   0
 EVENT_RATE,1525.86,OUTPUT_COUNT_RATE,1525.86,   0,   0,   0
 PS code version,0x104,FTDT,3.330E-03,0.000E+00,0.000E+00,0.000E+00
 --,0,SFDT*,0.000E+00,0.000E+00,0.000E+00,0.000E+00
 --,0,PASS_PILEUP_RATE*,   0,   0,   0,   0
 --,0,GATE_RATE*,   0,   0,   0,   0
 --,0,GDT*,   0,   0,   0,   0
 reserved,0,reserved,0,0,0,0
 CSROUT,0xBE000404,OOR,0,0,63,63
 SYSTIME,2462734240,ICR,1530,0,0,0
 RUNTIME,2322616808,COUNTTIME,2322616808,2322616808,0,0
 RUNTIME,2,COUNTTIME,2,2,0,0
 TOTALTIME,2322616808,NTRIG,16651,0,0,0
 TOTALTIME,2,NTRIG,0,0,0,0
 NUMEVENTS,16651,FTDT,3330200,0,0,0
 NUMEVENTS,0,FTDT,0,0,0,0
 BHL_EHL,2097152,SFDT*,0,0,0,0
 CHL_FIFILENGTH,2101248,SFDT*,0,0,0,0
 REVISION,0xA9901104,GCOUNT*,0,0,0,0
 SNUM,12,GCOUNT*,0,0,0,0
 T_ADC,55,NOUT,16651,0,0,0
 T_ZYNQ,67,NOUT,0,0,0,0
 reserved,0,GDT*,0,0,0,0
 reserved,0,GDT*,0,0,0,0
 reserved,0,NPPI*,0,0,0,0
 reserved,0,NPPI*,0,0,0,0
 reserved,0,reserved,0,0,0,0
 
