ParameterL,LocalLogic,ParameterT,TriggerIOStatus
CSROUT,0x4,IN_FRONTA,0xFF1B
 FW_VERSION,0xB1000001,IN_FRONTB,0xFFFF
 SW_VERSION,0x1000,IN_FRONTC,0xFFFF
 UNIQUE_ID,0x197B7679,IN_TRIGGERALL,0xFFFFFF1B
 UNIQUE_ID,0x92220002,IN_EBDATA,0xFFFF
 COINCTEST,0x1F00,CMASK_FRONTA,0xFF1B
 reserved,0x0,CMASK_FRONTB,0xFFFF
 reserved,0x0,CMASK_FRONTC,0xFFFF
 reserved,0x0,CMASK_TRIGGERALL,0x7FFFFF1B
 reserved,0x0,CMASK_EBDATA,0xFFFF
 NUMTRIGGERS,188351,MMSUM_FRONTA,12
 NUMTRIGGERS,0,MMSUM_FRONTB,16
 RUNTICKS,1059650830,MMSUM_FRONTC,16
 RUNTICKS,0,MMSUM_TRIGGERALL,27
 RUNTIME,10.596508,MMSUM_EBDATA,16
 TRIGGERRATE,17774.817390,reserved,0
 T_ZYNQ,42,reserved,0
 T_BOARD,22,reserved,0
 SNUM,2,reserved,0
 
