ParameterL,LocalLogic,ParameterT,TriggerIOStatus
CSROUT,0x4,IN_FRONTA,0x0
 FW_VERSION,0xB1000001,IN_FRONTB,0xFFFF
 SW_VERSION,0x1000,IN_FRONTC,0xF
 UNIQUE_ID,0x197B7679,IN_TRIGGERALL,0x3F7FD7ED
 UNIQUE_ID,0x92EB0001,IN_EBDATA,0xFFFF
 COINCTEST,0x1E01,CMASK_FRONTA,0x0
 reserved,0x0,CMASK_FRONTB,0xFFFF
 reserved,0x0,CMASK_FRONTC,0xF
 reserved,0x0,CMASK_TRIGGERALL,0x3F7FD7ED
 reserved,0x0,CMASK_EBDATA,0xFFFF
 NUMTRIGGERS,0,MMSUM_FRONTA,0
 NUMTRIGGERS,0,MMSUM_FRONTB,16
 RUNTICKS,1084316626,MMSUM_FRONTC,4
 RUNTICKS,0,MMSUM_TRIGGERALL,25
 RUNTIME,10.843166,MMSUM_EBDATA,16
 TRIGGERRATE,0.000000,reserved,0
 T_ZYNQ,4294966297,reserved,0
 T_BOARD,24,reserved,0
 SNUM,1,reserved,0
 
