ParameterM,Module,ParameterC,Channel0,Channel1,Channel2,Channel3
RUN_TIME,5.75113,COUNT_TIME,5.00402,5.75113,   0,   0
 TOTAL_TIME,5.75113,INPUT_COUNT_RATE,1526.64,   0,   0,   0
 EVENT_RATE,1323.74,OUTPUT_COUNT_RATE,1521.38,   0,   0,   0
 PS code version,0x110,FTDT,1.527E-03,0.000E+00,0.000E+00,0.000E+00
 --,0,SFDT*,0.000E+00,0.000E+00,0.000E+00,0.000E+00
 --,0,PASS_PILEUP_RATE*,   0,   0,   0,   0
 --,0,GATE_RATE*,   0,   0,   0,   0
 --,0,GDT*,   0,   0,   0,   0
 reserved,0,reserved,0,0,0,0
 CSROUT,0xBE110C14,OOR*,0,0,0,0
 SYSTIME,0x5D67FCF8,ICR,1530,0,0,0
 RUNTIME,1456163744,COUNTTIME,709053704,1456163744,0,0
 RUNTIME,1,COUNTTIME,1,1,0,0
 TOTALTIME,1456163744,NTRIG,7637,0,0,0
 TOTALTIME,1,NTRIG,0,0,0,0
 NUMEVENTS,7613,FTDT,1527400,0,0,0
 NUMEVENTS,0,FTDT,0,0,0,0
 BHL_EHL,2097152,SFDT*,0,0,0,0
 CHL_FIFILENGTH,2101248,SFDT*,0,0,0,0
 REVISION,0xA9901112,GCOUNT*,0,0,0,0
 SNUM,12,GCOUNT*,0,0,0,0
 PPSTIME,8,NOUT,7613,0,0,0
 T_ADC,49,NOUT,0,0,0,0
 T_ZYNQ,54,GDT*,0,0,0,0
 reserved,0,GDT*,0,0,0,0
 reserved,0,NPPI*,0,0,0,0
 reserved,0,NPPI*,0,0,0,0
 reserved,0,reserved,0,0,0,0
 
